index	director
156	('유성엽', '')
157	('존 터틀타웁', 'Jon Turteltaub')
158	('이승문', '')
159	('미셸 오슬로', 'Michel Ocelot')
160	('김재환', 'KIM Jaehwan')
161	('보아즈 야킨', 'Boaz Yakin')
162	('게리 트러스데일', 'Gary Trousdale')
163	('진 켈리', 'Gene Kelly')
164	('진모영', 'JIN Mo-young')
165	('켈리 애스버리', 'Kelly Asbury')
166	('해럴드 즈워트', 'Harald Zwart')
167	('캐롤 발라드', 'Carroll Ballard')
168	('가스 데이비스', 'Garth Davis')
169	('하라 케이이치', 'Keiichi Hara')
170	('플로리안 헨켈 폰 도너스마르크', 'Florian Henckel von Donnersmarck')
171	('정윤철', '')
172	('최신규', '')
173	('야마모토 야스이치로', 'Yasuichiro Yamamoto')
174	('베르나르도 베르톨루치', 'Bernardo Bertolucci')
175	('박건용', '')
176	('조지 틸만 주니어', 'George Tillman Jr.')
177	('토니 스콧', 'Tony Scott')
178	('장준환', 'Joon-Hwan Jang')
179	('커크 드 미코', 'Kirk De Micco')
180	('후지모리 마사야', 'Masaya Fujimori')
181	('우인태', '')
182	('볼프강 페터젠', 'Wolfgang Petersen')
183	('엽위신', 'YIP Wai Shun')
184	('오우삼', 'John Woo')
185	('스티븐 소머즈', 'Stephen Sommers')
186	('홍성호', '')
187	('이호재', 'Hojae LEE')
188	('양익준', 'YANG Ikjune')
189	('이창원', '')
190	('프란코 제피렐리', 'Franco Zeffirelli')
191	('도로타 코비엘라', 'Dorota Kobiela')
192	('페니 마샬', 'Penny Marshall')
193	('로버트 렌스', 'Robert Lence')
194	('프랭클린 J. 샤프너', 'Franklin J. Schaffner')
195	('제리 주커', 'Jerry Zucker')
196	('야마시타 히로유키', 'Hiroyuki Yamashita')
197	('강제규', 'Kang Je Kyu')
198	('브라이언 드 팔마', 'Brian De Palma')
199	('에이슬링 월쉬', 'Aisling Walsh')
200	('후지타 하루카', 'Haruka Fujita')
201	('피에르 모렐', 'Pierre Morel')
202	('닉 브루노', 'Nick Bruno')
203	('하네스 홀름', 'Hannes Holm')
204	('에릭 브레스', 'Eric Bress')
205	('임정하', 'LIM Jung-ha')
206	('프란시스 포드 코폴라', 'Francis Ford Coppola')
207	('피터 시걸', 'Peter Segal')
208	('조 존스톤', 'Joe Johnston')
209	('후지이 미치히토', 'Fujii Michihito')
210	('브래들리 쿠퍼', 'Bradley Cooper')
211	('밥 퍼시케티', 'Bob Persichetti')
212	('맷 화이트크로스', 'Mat Whitecross')
213	('리처드 링클레이터', 'Richard Linklater')
214	('최동훈', '')
215	('조지 로이 힐', 'George Roy Hill')
216	('이나정', 'LEE Na-jeong')
217	('스도 토모노리', 'Tomonori Sudou')
218	('진목승', 'Benny Chan')
219	('위고 젤랭', 'Hugo Gelin')
220	('고레에다 히로카즈', 'Hirokazu Koreeda')
221	('마크 웹', 'Marc Webb')
222	('로저 스포티스우드', 'Roger Spottiswoode')
223	('강형철', '')
224	('호소다 마모루', 'Hosoda Mamoru')
225	('크레이그 질레스피', 'Craig Gillespie')
226	('카챠 본 가르니에', 'Katja Von Garnier')
227	('강우석', '')
228	('F. 게리 그레이', 'F. Gary Gray')
229	('홍주연', '')
230	('윤성현', '')
231	('토니 케이', 'Tony Kaye')
232	('왕가위', 'Kar Wai Wong')
233	('리차드 커티스', 'Richard Curtis')
234	('히시다 마사카즈', 'Hishida Masakazu')
235	('존 카메론 미첼', 'John Cameron Mitchell')
236	('론 클레멘츠', 'Ron Clements')
237	('이창동', 'LEE Chang-dong')
238	('대니 드비토', 'Danny DeVito')
239	('올리버 스톤', 'Oliver Stone')
240	('토마스 카터', 'Thomas Carter')
241	('아베 노리유키', 'Noriyuki Abe')
242	('해롤드 래미스', 'Harold Ramis')
243	('카메론 크로우', 'Cameron Bruce Crowe')
244	('셀린 시아마', 'Celine Sciamma')
245	('수오 마사유키', 'Masayuki Suo')
246	('타케모토 야스히로', 'Yasuhiro Takemoto')
247	('마이클 무어', 'Michael Moore')
248	('앤드류 하얏트', 'Andrew Hyatt')
249	('마이클 래드포드', 'Michael Radford')
250	('피터 램지', 'Peter Ramsey')
251	('조정래', 'CHO Jung rae')
252	('글렌 고든 카슨', 'Glenn Gordon Caron')
253	('척 러셀', 'Chuck Russell')
254	('임유철', '')
255	('타이카 와이티티', 'Taika Waititi')
256	('미미 레더', 'Mimi Leder')
257	('강윤성', '')
258	('헨리 셀릭', 'Henry Selick')
259	('폴 킹', 'Paul King')
260	('앤드루 데이비스', 'Andrew Davis')
261	('엄유나', '')
262	('에드워드 즈윅', 'Edward Zwick')
263	('진가신', 'Peter Chan Ho Sun')
264	('나카시마 테츠야', 'Tetsuya Nakashima')
265	('콘도 요시후미', 'Yoshifumi Kondo')
266	('송일곤', '')
267	('김용화', '')
268	('안도 마사히로', 'Masahiro Ando')
269	('존 추', 'Jon Chu')
270	('진광교', '')
271	('조근식', '')
272	('김현탁', 'Kim Hyuntak')
273	('프랭크 코라치', 'Frank Coraci')
274	('이와이 슌지', 'lwai Shunji')
275	('사만다 푸터먼', 'Samantha Futerman')
276	('무토 유지', 'Muto Yuji')
277	('짐 쉐리단', 'Jim Sheridan')
278	('션 헤이더', 'Sian Heder')
279	('마이클 만', 'Michael Mann')
280	('크리스 벅', 'Chris Buck')
281	('얀 드봉', 'Jan De Bont')
282	('닐 조단', 'Neil Jordan')
283	('타카하시 와타루', 'Wataru Takahashi')
284	('임순례', '')
285	('크리스토퍼 맥쿼리', 'Christopher McQuarrie')
286	('윤학렬', '')
287	('권형진', '')
288	('장진', '')
289	('브렌다 채프먼', 'Brenda Chapman')
290	('미셸 공드리', 'Michel Gondry')
291	('우베르토 파솔리니', 'Uberto Pasolini')
292	('한상호', '')
293	('라이언 존슨', 'Rian Johnson')
294	('피 제이 호건', 'P.J. Hogan')
295	('제임스 완', 'James Wan')
296	('나가미네 타츠야', 'Tatsuya Nagamine')
297	('야구치 시노부', 'Shinobu Yaguchi')
298	('토머스 얀', 'Thomas Jahn')
299	('이상호', 'LEE Sang-ho')
300	('조지 루카스', 'George Lucas')
301	('최진성', '')
302	('타다 슌스케', 'Shunsuke Tada')
303	('조 라이트', 'Joe Wright')
304	('돈 홀', 'Don Hall')
305	('맥조휘', '')
306	('알프레드 히치콕', 'Alfred Hitchcock')
307	('토니 밴크로프트', 'Tony Bancroft')
308	('이한', '')
309	('송해성', 'Song He-song')
310	('레니 할린', 'Renny Harlin')
311	('코야마 세이지로', 'Seijiro Koyama')
312	('데릭 시엔프랜스', 'Derek Cianfrance')
313	('로저 미첼', 'Roger Michell')
314	('이지원', '')
315	('사이먼 웨스트', 'Simon West')
316	('김상진', '')
317	('윤종빈', '')
318	('니키타 미할코프', 'Nikita Mikhalkov')
319	('구로사와 아키라', 'Akira Kurosawa')
320	('돈 블루스', 'Don Bluth')
321	('빌 듀크', 'Bill Duke')
322	('김보람', 'KIM Bo-ram')
323	('나유', 'Wei Lo')
324	('에단 호크', 'Ethan Hawke')
325	('나홍진', '')
326	('톰 새디악', 'Tom Shadyac')
327	('롤프 슈벨', 'Rolf Schubel')
328	('스콧 힉스', 'Scott Hicks')
329	('믹 잭슨', 'Mick Jackson')
330	('테리 조지', 'Terry George')
331	('하워드 지프', 'Howard Zieff')
332	('어빈 커쉬너', 'Irvin Kershner')
333	('장 자크 아노', 'Jean-Jacques Annaud')
334	('노라 핑스체이트', 'Nora Fingscheidt')
335	('박진표', 'PARK Jin-pyo')
336	('스티븐 소더버그', 'Steven Soderbergh')
337	('길 정거', 'Gil Junger')
338	('이태슬', '')
339	('안노 히데아키', 'Hideaki Anno')
340	('실베스터 스탤론', 'Sylvester Stallone')
341	('닉 카사베츠', 'Nick Cassavetes')
342	('진가상', '')
343	('왕정', 'Wong Jing')
344	('고어 버빈스키', 'Gore Verbinski')
345	('김광식', '')
346	('사울 딥', 'Saul Dibb')
347	('시즈노 코분', 'Kobun Shizuno')
348	('리 워넬', 'Leigh Whannell')
349	('산제이 릴라 반살리', 'Sanjay Leela Bhansali')
350	('안톤 메게르디체브', 'Anton Megerdichev')
351	('퍼시 애들론', 'Percy Adlon')
352	('아일레트 메나헤미', 'Ayelet Menahemi')
353	('숀 레비', 'Shawn Levy')
