index	actor
147	('마이클 J. 폭스', 'Michael J. Fox')
148	('크리스토퍼 로이드', 'Christopher Lloyd')
149	('리 톰슨', 'Lea Thompson')
150	('크리스핀 글로버', 'Crispin Glover')
151	('토머스 F. 윌슨', 'Thomas F. Wilson')
152	('클로디아 웰즈', 'Claudia Wells')
153	('마크 맥클루어', 'Marc McClure')
154	('웬디 조 스페버', 'Wendie Jo Sperber')
155	('라미 말렉', 'Rami Malek')
156	('루시 보인턴', 'Lucy Boynton')
157	('귈림 리', 'Gwilym Lee')
158	('벤 하디', 'Ben Hardy')
159	('조셉 마젤로', 'Joseph Mazzello')
160	('에이단 길렌', 'Aidan Gillen')
161	('엘렌 리치', 'Allen Leech')
162	('톰 홀랜더', 'Tom Hollander')
163	('로빈 라이트', 'Robin Wright')
164	('게리 시나이즈', 'Gary Sinise')
165	('미켈티 윌리암슨', 'Mykelti Williamson')
166	('샐리 필드', 'Sally Field')
167	('러셀 크로우', 'Russell Crowe')
168	('호아킨 피닉스', 'Joaquin Phoenix')
169	('코니 닐슨', 'Connie Nielsen')
170	('올리버 리드', 'Oliver Reed')
171	('리처드 해리스', 'Richard Harris')
172	('데릭 제이코비', 'Derek Jacobi')
173	('디몬 하운수', 'Djimon Hounsou')
174	('데이빗 쇼필드', 'David Schofield')
175	('레오나르도 디카프리오', 'Leonardo Dicaprio')
176	('케이트 윈슬렛', 'Kate Winslet')
177	('빌리 제인', 'Billy Zane')
178	('캐시 베이츠', 'Kathy Bates')
179	('프란시스 피셔', 'Frances Fisher')
180	('버나드 힐', 'Bernard Hill')
181	('대니 누치', 'Danny Nucci')
182	('글로리아 스튜어트', 'Gloria Stuart')
183	('휴 잭맨', 'Hugh Jackman')
184	('잭 에프론', 'Zac Efron')
185	('미셸 윌리엄스', 'Michelle Williams')
186	('레베카 퍼거슨', 'Rebecca Ferguson')
187	('젠데이아 콜먼', 'Zendaya Maree Stoermer Coleman')
188	('오스틴 존슨', 'Austyn Johnson')
189	('카메론 실리', 'Cameron Seely')
190	('케알라 세틀', 'Keala Settle')
191	('션 알다란', 'Sean Ardalan')
192	('잭 힙스', 'Jack Hibbs')
193	('젬마 리주토', 'Gemma Rizzuto')
194	('케빈 헤이어', 'Kevin Hayer')
195	('J.D 파락', 'J.D Farag')
196	('케빈 소보', 'Kevin Sorbo')
197	('로베르토 베니니', 'Roberto Benigni')
198	('니콜레타 브라스키', 'Nicoletta Braschi')
199	('조르지오 깐따리니', 'Giorgio Cantarini')
200	('마리사 파레데스', 'Marisa Paredes')
201	('호르스트 부흐홀츠', 'Horst Buchholz')
202	('송강호', 'Song Kang-ho')
203	('김상경', '')
204	('김뢰하', '')
205	('송재호', '')
206	('변희봉', '변인철')
207	('고서희', '')
208	('류태호', '')
209	('박노식', '')
210	('엠마 스톤', 'Emma Stone')
211	('비올라 데이비스', 'Viola Davis')
212	('옥타비아 스펜서', 'Octavia Spencer')
213	('브라이스 달라스 하워드', 'Bryce Dallas Howard')
214	('제시카 차스테인', 'Jessica Chastain')
215	('마이크 보겔', 'Mike Vogel')
216	('앨리슨 제니', 'Allison Janney')
217	('씨씨 스페이식', 'Sissy Spacek')
